Date,Monthly_Return
2010-01-29,0.022431
2010-02-26,0.028107
2010-03-31,-0.000158
2010-04-30,-0.009929
2010-05-28,-0.017214
2010-06-30,-0.01817
2010-07-30,0.027706
2010-08-31,-0.024362
2010-09-30,0.005028
2010-10-29,0.068064
2010-11-30,-0.039327
2010-12-31,0.053381
2011-01-31,-0.011164
2011-02-28,-0.001267
2011-03-31,-0.022998
2011-04-29,0.062094
2011-05-31,0.032358
2011-06-30,-0.051194
2011-07-29,-0.024461
2011-08-31,0.035616
2011-09-30,-0.007852
2011-10-31,0.02113
2011-11-30,0.009064
2011-12-30,0.033142
2012-01-31,-0.047144
2012-02-29,0.072652
2012-03-30,-0.006063
2012-04-30,-0.044755
2012-05-31,-0.021213
2012-06-29,-0.016696
2012-07-31,0.06289
2012-08-31,0.04106
2012-09-28,0.032296
2012-10-31,0.006373
2012-11-30,0.008521
2012-12-31,-0.027782
2013-01-31,0.115363
2013-02-28,0.013571
2013-03-28,0.011552
2013-04-30,0.004042
2013-05-31,-0.00013
2013-06-28,0.002996
2013-07-31,0.050805
2013-08-30,-0.030013
2013-09-30,-0.029529
2013-10-31,0.076221
2013-11-29,0.042972
2013-12-31,-0.033365
2014-01-31,-0.05145
2014-02-28,0.026625
2014-03-31,0.024663
2014-04-30,0.032179
2014-05-30,-0.02132
2014-06-30,-0.027231
2014-07-31,-0.00797
2014-08-29,0.074884
2014-09-30,0.00758
2014-10-31,0.04984
2014-11-28,0.03621
2014-12-31,0.007298
2015-01-30,-0.067586
2015-02-27,0.009966
2015-03-31,-0.037472
2015-04-30,-0.021566
2015-05-29,-0.014086
2015-06-30,-0.001914
2015-07-31,-0.01121
2015-08-31,-0.078618
2015-09-30,0.017971
2015-10-30,0.070933
2015-11-30,-0.020162
2015-12-31,0.061064
2016-01-29,0.03706
2016-02-29,-0.017138
2016-03-31,0.025159
2016-04-29,-0.018473
2016-05-31,0.011483
2016-06-30,0.044793
2016-07-29,0.018773
2016-08-31,0.020096
2016-09-30,0.027946
2016-10-31,-0.025409
2016-11-30,-0.05
2016-12-30,0.019646
2017-01-31,0.049828
2017-02-28,0.039612
2017-03-31,-0.013396
2017-04-28,-0.020372
2017-05-31,0.008703
2017-06-30,-0.010671
2017-07-31,0.050024
2017-08-31,0.015966
2017-09-29,-0.013981
2017-10-31,-0.043421
2017-11-30,0.042275
2017-12-29,0.021002
2018-01-31,-0.052791
2018-02-28,-0.090572
2018-03-29,0.009679
2018-04-30,-0.078492
2018-05-31,0.011474
2018-06-29,0.066831
2018-07-31,0.045314
2018-08-31,0.025594
2018-09-28,0.003376
2018-10-31,0.074098
2018-11-30,0.065742
2018-12-31,-0.027405
2019-01-31,0.057302
2019-02-28,0.021561
2019-03-29,0.055809
2019-04-30,0.030523
2019-05-31,-0.033527
2019-06-28,0.065494
2019-07-31,0.083319
2019-08-30,0.018553
2019-09-30,0.034517
2019-10-31,0.007042
2019-11-29,-0.019677
2019-12-31,0.023267
2020-01-31,0.00373
2020-02-28,-0.091398
2020-03-31,-0.028526
2020-04-30,0.078734
2020-05-29,-0.016544
2020-06-30,0.031487
2020-07-31,0.103209
2020-08-31,0.054988
2020-09-30,0.004771
2020-10-30,-0.007909
2020-11-30,0.01291
2020-12-31,0.001944
2021-01-29,-0.072871
2021-02-26,-0.036503
2021-03-31,0.096333
2021-04-30,-0.008419
2021-05-28,0.010718
2021-06-30,0.000593
2021-07-30,0.060549
2021-08-31,0.001125
2021-09-30,-0.01819
2021-10-29,0.02904
2021-11-30,0.01112
2021-12-31,0.131415
2022-01-31,-0.013817
2022-02-28,-0.02842
2022-03-31,-0.019822
2022-04-29,0.056697
2022-05-31,-0.078916
2022-06-30,-0.027658
2022-07-29,-0.027587
2022-08-31,-0.006983
2022-09-30,-0.084747
2022-10-31,0.073927
2022-11-30,0.107596
2022-12-30,0.01609
2023-01-31,-0.054544
2023-02-28,-0.033853
2023-03-31,0.08091
2023-04-28,0.058045
2023-05-31,-0.088758
2023-06-30,0.064842
2023-07-31,0.036251
2023-08-31,-0.01254
2023-09-29,-0.054944
2023-10-31,0.035038
2023-11-30,0.023262
2023-12-29,-0.045467
2024-01-31,0.078755
2024-02-29,0.011455
2024-03-28,0.020826
2024-04-30,0.012059
2024-05-31,0.008211
2024-06-28,0.00231
2024-07-31,-0.019121
2024-08-30,0.067057
2024-09-30,0.009677
2024-10-31,-0.040494
2024-11-29,0.08524
2024-12-31,-0.064766
