Fiscal_Year,Net_Profit_Margin,EBIT_Margin,EBITDA_Margin,Return_On_Assets_ROA,Return_On_Equity_ROE,Cash_Flow_Margin,Asset_Turnover,Net_Income_To_Total_Assets,Debt_Ratio,Cash_Debt_Coverage,Market_To_Debt,Market_To_Assets,Liabilities_To_Assets,Dividend_Yield,Earnings_Yield,Market_Capitalization_USD,Book_Value_Per_Share_USD,Dividends_Per_Share_USD,Revenue,EBIT,EBITDA,Net_Income,Total_Assets,Total_Liabilities,Stock_Price_Close_USD,Shares_Outstanding
2010,9.59,13.26,15.51,14.26,28.15,15.51,1.0752,0.1031,0.6337,0.2631,2.5486,1.6151,0.6337,1.91,6.38,88.226307,7.120548944658876,0.5997544269874063,58731.248,7790.23,9107.842,5631.364,54624.492,34617.494,31.4,2809.755
2011,9.15,13.87,16.08,13.56,28.5,16.08,0.978,0.0895,0.686,0.2293,2.2927,1.5727,0.686,3.33,5.69,96.93594505,6.863300672076132,1.143960090272004,60281.639,8358.505,9693.426,5516.12,61637.318,42280.305,34.37,2820.365
2012,8.73,13.62,15.95,15.14,28.51,15.95,1.1117,0.097,0.6596,0.2689,2.7012,1.7817,0.6596,3.28,5.45,108.4575953,7.318025235619435,1.2553701879835055,67675.826,9215.694,10796.696,5907.328,60874.488,40151.37,38.3,2831.791
2013,9.72,15.1,17.41,16.52,32.68,17.41,1.0941,0.1064,0.6745,0.2824,2.7011,1.8219,0.6745,3.6,5.84,114.25364252999998,7.187855610418411,1.446304257272243,68615.286,10357.674,11943.637,6671.792,62712.363,42298.774,40.23,2840.011
2014,10.68,16.48,18.8,16.62,36.25,18.8,1.0085,0.1077,0.703,0.2697,2.7105,1.9056,0.703,3.49,5.65,110.74672,6.0843063364766,1.36334890279369,58612.404,9656.597,11020.38,6257.427,58117.473,40857.817,39.04,2836.75
2015,9.21,14.11,16.68,14.37,30.52,16.68,1.0186,0.0939,0.6925,0.2453,3.1271,2.1655,0.6925,3.01,4.33,122.97915528,6.151582293418399,1.3020761194482,57848.065,8160.539,9648.222,5330.683,56790.399,39326.955,43.32,2838.854
2016,9.83,14.8,17.58,13.82,30.53,17.58,0.9341,0.0919,0.6991,0.2349,2.801,1.9582,0.6991,3.26,4.69,116.5976714,6.309595765734993,1.3377234839014116,55622.758,8231.615,9776.428,5470.157,59543.881,41626.585,41.06,2839.69
2017,11.27,16.49,19.35,14.69,42.07,19.35,0.891,0.1004,0.7614,0.2265,2.7955,2.1284,0.7614,3.05,4.72,154.25383424,6.3150040783064005,1.7188820109811227,64576.173,10647.885,12496.869,7276.917,72474.627,55178.576,56.32,2738.882
2018,18.42,24.59,27.61,21.08,76.38,27.61,0.8575,0.1579,0.7933,0.2984,2.6047,2.0662,0.7933,3.32,7.64,140.645843,5.383250166874824,1.787263578063946,58369.169,14351.292,16113.289,10749.443,68071.031,53997.95,53.8,2614.235
2019,10.82,19.14,22.95,15.35,40.51,22.95,0.8021,0.0868,0.7857,0.2343,2.6314,2.0676,0.7857,3.15,4.2,150.36287942,5.9547799682592695,1.8109630479966767,58331.056,11162.35,13386.516,6312.278,72724.171,57141.542,57.46,2616.827
2020,11.0,18.47,22.44,13.84,31.61,22.44,0.7497,0.0825,0.7391,0.2277,2.6257,1.9406,0.7391,3.28,4.25,158.26253172,8.116428938926617,1.9768136791436384,61141.999,11290.851,13723.32,6727.259,81555.211,60274.121,60.36,2621.977
2021,11.53,18.37,21.7,12.83,30.63,21.7,0.6984,0.0806,0.7371,0.2056,2.1928,1.6162,0.7371,3.67,4.98,138.03955572,8.751086792182269,1.9757086944933264,59645.91,10959.27,12945.04,6879.683,85407.475,62949.841,53.79,2566.268
2022,12.72,16.12,19.3,12.44,35.21,19.3,0.7719,0.0982,0.7211,0.2066,2.1256,1.5329,0.7211,3.65,6.41,127.4887175,9.159682865662209,1.8386054777749248,64202.553,10348.631,12392.067,8167.328,83170.59,59977.815,50.35,2532.05
2023,10.88,16.66,19.31,13.19,31.24,19.31,0.7919,0.0862,0.7241,0.2112,2.0122,1.4571,0.7241,3.95,5.92,121.22016768,9.179029009572808,1.912813307865571,65883.005,10977.184,12721.419,7170.375,83194.925,60243.534,48.48,2500.416
2024,9.45,18.4,21.29,14.02,25.47,21.29,0.7619,0.072,0.7172,0.2262,2.3727,1.7017,0.7172,3.18,4.23,140.49959490000003,9.423718909242204,1.8049417521843687,62906.629,11573.759,13392.803,5946.836,82566.18,59214.704,56.7,2477.947
2025,18.75,19.97,23.26,14.31,53.84,23.26,0.7166,0.1344,0.7504,0.2221,2.2972,1.7239,0.7504,9.22,7.79,142.637727,9.467811398873453,6.03211638671163,59296.858,11841.056,13792.452,11117.794,82741.795,62092.451,65.4,2181.005
