Company ID (GVKEY),Fiscal Quarter End Date,Fiscal Year,Fiscal Quarter,Stock Ticker,Company Name,Quarterly Revenue (Millions USD)
008762,2018-03-31,2018,3,PG,PROCTER & GAMBLE CO,16281.0
008762,2018-06-30,2018,4,PG,PROCTER & GAMBLE CO,16503.0
008762,2018-09-30,2019,1,PG,PROCTER & GAMBLE CO,16690.0
008762,2018-12-31,2019,2,PG,PROCTER & GAMBLE CO,17438.0
008762,2019-03-31,2019,3,PG,PROCTER & GAMBLE CO,16462.0
008762,2019-06-30,2019,4,PG,PROCTER & GAMBLE CO,17094.0
008762,2019-09-30,2020,1,PG,PROCTER & GAMBLE CO,17798.0
008762,2019-12-31,2020,2,PG,PROCTER & GAMBLE CO,18240.0
008762,2020-03-31,2020,3,PG,PROCTER & GAMBLE CO,17214.0
008762,2020-06-30,2020,4,PG,PROCTER & GAMBLE CO,17698.0
008762,2020-09-30,2021,1,PG,PROCTER & GAMBLE CO,19318.0
008762,2020-12-31,2021,2,PG,PROCTER & GAMBLE CO,19745.0
008762,2021-03-31,2021,3,PG,PROCTER & GAMBLE CO,18109.0
008762,2021-06-30,2021,4,PG,PROCTER & GAMBLE CO,18946.0
008762,2021-09-30,2022,1,PG,PROCTER & GAMBLE CO,20338.0
008762,2021-12-31,2022,2,PG,PROCTER & GAMBLE CO,20953.0
008762,2022-03-31,2022,3,PG,PROCTER & GAMBLE CO,19381.0
008762,2022-06-30,2022,4,PG,PROCTER & GAMBLE CO,19515.0
008762,2022-09-30,2023,1,PG,PROCTER & GAMBLE CO,20612.0
008762,2022-12-31,2023,2,PG,PROCTER & GAMBLE CO,20773.0
008762,2023-03-31,2023,3,PG,PROCTER & GAMBLE CO,20068.0
008762,2023-06-30,2023,4,PG,PROCTER & GAMBLE CO,20553.0
008762,2023-09-30,2024,1,PG,PROCTER & GAMBLE CO,21871.0
008762,2023-12-31,2024,2,PG,PROCTER & GAMBLE CO,21441.0
008762,2024-03-31,2024,3,PG,PROCTER & GAMBLE CO,20195.0
008762,2024-06-30,2024,4,PG,PROCTER & GAMBLE CO,20532.0
008762,2024-09-30,2025,1,PG,PROCTER & GAMBLE CO,21737.0
008762,2024-12-31,2025,2,PG,PROCTER & GAMBLE CO,21882.0
008762,2025-03-31,2025,3,PG,PROCTER & GAMBLE CO,19776.0
008762,2025-06-30,2025,4,PG,PROCTER & GAMBLE CO,20889.0
008762,2025-09-30,2026,1,PG,PROCTER & GAMBLE CO,22386.0
008762,2025-12-31,2026,2,PG,PROCTER & GAMBLE CO,22208.0
